,0
524,서울사립대(한양대학교)
525,서울사립대(가톨릭대학교)
526,과학기술원
527,전문대
528,"컴활2급, 워드프로세서, ERP(회계,인사,생산,물류), 한국사능력검정2급, 전산회계1급, 전산회계운용사3급, 동아리 예산관리(3년), 학급 총무부 1년, 2017 사랑의 열매 봉사단, 구청 주최 가족운동회 봉사"
529,서울국립대(서울과학기술대학교)
530,지방국립대(인천대학교)
531,지방거점국립대(전남대학교)
532,지방사립대(한국기술교육대학교)
533,지방사립대(협성대학교)
534,서울사립대(한성대학교)
535,서울사립대(연세대학교)
536,지방사립대(인하대학교)
537,지방사립대(순천향대학교)
538,서울사립대(숭실대학교)
539,고등학교졸업
540,서울사립대(경희대학교)
541,지방사립대(조선대학교)
542,서울국립대(서울과학기술대학교)
543,서울사립대(중앙대학교)
544,서울사립대(숭실대학교)
545,서울사립대(한성대학교)
546,서울사립대(중앙대학교)
547,서울사립대(연세대학교)
548,지방사립대(영남대학교)
549,지방사립대(조선대학교)
550,서울국립대(서울과학기술대학교)
551,과학기술원
552,지방국립대(부경대학교)
553,서울국립대(서울과학기술대학교)
554,지방거점국립대(충남대학교)
555,서울사립대(중앙대학교)
556,서울사립대(서강대학교)
557,서울사립대(중앙대학교)
558,서울공립대(서울시립대학교)
559,지방국립대(한경대학교)
560,서울사립대(한성대학교)
561,서울사립대(국민대학교)
562,서울사립대(경희대학교)
563,전문대
564,서울사립대(서강대학교)
565,지방국립대(부경대학교)
566,과학기술원
567,지방사립대(인하대학교)
568,서울사립대(연세대학교)
569,"교내 금융 동아리 3년, 학생회장단연합회 1년, 특성화고 권리 연합회 1년, 컴퓨터활용능력 2급, 전산회계1급, 전산세무2급, 전산회계운용사3급, 기업회계2급, 워드프로세서1급"
570,"컴활2급, 워드프로세서, ERP(회계,인사,생산,물류), 한국사능력검정2급, 전산회계1급, 전산회계운용사3급, 동아리 예산관리(3년), 학급 총무부 1년, 2017 사랑의 열매 봉사단, 구청 주최 가족운동회 봉사"
571,지방국립대(부경대학교)
572,지방국립대(인천대학교)
573,지방사립대
574,서울사립대(아주대학교)
575,지방거점국립대(경북대학교)
576,서울사립대(고려대학교)
577,서울사립대(동국대학교)
578,서울사립대(아주대학교)
579,서울사립대
580,서울사립대(광운대학교)
581,지방사립대(순천향대학교)
582,지방사립대(영남대학교)
583,서울사립대(중앙대학교)
584,서울사립대(가톨릭대학교)
585,서울사립대(국민대학교)
586,지방사립대(조선대학교)
587,지방사립대(인하대학교)
588,서울국립대(서울과학기술대학교)
589,서울사립대(연세대학교)
590,서울사립대(연세대학교)
591,서울국립대(서울과학기술대학교)
592,지방사립대
593,지방사립대(동아대학교)
594,서울사립대(가톨릭대학교)
595,서울사립대(연세대학교)
596,
597,서울사립대
598,서울사립대(한양대학교)
599,지방국립대(부경대학교)
600,서울사립대(광운대학교)
601,지방사립대(순천향대학교)
602,지방사립대(영남대학교)
603,서울사립대(중앙대학교)
604,서울사립대(가톨릭대학교)
605,서울사립대(국민대학교)
606,지방사립대(조선대학교)
607,지방사립대(인하대학교)
608,서울국립대(서울과학기술대학교)
609,서울사립대(연세대학교)
610,서울사립대(연세대학교)
611,서울국립대(서울과학기술대학교)
612,지방사립대
613,지방사립대(동아대학교)
614,서울사립대(가톨릭대학교)
615,서울사립대(연세대학교)
616,
617,서울사립대
618,서울사립대(한양대학교)
619,지방국립대(부경대학교)
620,서울국립대(서울대학교)
621,지방국립대(공주대학교)
622,서울사립대(아주대학교)
623,서울사립대(한국외국어대학교)
624,지방사립대(순천향대학교)
625,지방국립대(인천대학교)
626,서울사립대(아주대학교)
627,서울사립대(경희대학교)
628,대학원
629,지방사립대(순천향대학교)
630,고등학교졸업
631,지방국립대(부경대학교)
632,지방거점국립대(경북대학교)
633,지방거점국립대(부산대학교)
634,서울사립대(건국대학교)
635,과학기술원
636,지방국립대(금오공과대학교)
637,과학기술원
638,대학원
639,서울사립대(가톨릭대학교)
640,대학원
641,지방사립대(성결대학교)
642,지방국립대(부경대학교)
643,지방사립대(가천대학교)
644,지방거점국립대(전남대학교)
645,대학원
646,서울사립대(아주대학교)
647,지방국립대(금오공과대학교)
648,지방국립대(부경대학교)
649,지방사립대(인하대학교)
650,서울사립대(중앙대학교)
651,해외대(미국)
652,서울사립대(아주대학교)
653,서울사립대(고려대학교)
654,서울공립대(서울시립대학교)
655,서울사립대
656,서울사립대(아주대학교)
657,서울사립대(광운대학교)
658,서울사립대(가톨릭대학교)
659,지방거점국립대
660,서울사립대(국민대학교)
661,지방사립대(상지대학교)
662,지방사립대(인하대학교)
663,서울사립대(가톨릭대학교)
664,지방국립대(금오공과대학교)
665,지방국립대(부경대학교)
666,서울사립대(연세대학교)
667,지방거점국립대(충남대학교)
668,지방국립대(인천대학교)
669,지방사립대(순천향대학교)
670,서울사립대(고려대학교)
671,지방국립대(금오공과대학교)
672,대학원
673,"교내 금융 동아리 3년, 학생회장단연합회 1년, 특성화고 권리 연합회 1년, 컴퓨터활용능력 2급, 전산회계1급, 전산세무2급, 전산회계운용사3급, 기업회계2급, 워드프로세서1급"
674,"컴활2급, 워드프로세서, ERP(회계,인사,생산,물류), 한국사능력검정2급, 전산회계1급, 전산회계운용사3급, 동아리 예산관리(3년), 학급 총무부 1년, 2017 사랑의 열매 봉사단, 구청 주최 가족운동회 봉사"
675,지방국립대(부경대학교)
676,과학기술원
677,지방사립대(인하대학교)
678,서울사립대(연세대학교)
679,지방거점국립대(전남대학교)
680,서울사립대(가톨릭대학교)
681,서울사립대(연세대학교)
682,서울사립대(연세대학교)
683,지방사립대(조선대학교)
684,서울국립대(서울과학기술대학교)
685,지방사립대(동아대학교)
686,지방사립대(인하대학교)
687,서울국립대(서울과학기술대학교)
688,지방사립대
689,서울사립대(한양대학교)
690,서울사립대(가톨릭대학교)
691,지방국립대(부경대학교)
692,서울사립대(연세대학교)
693,지방사립대
694,서울사립대
695,
696,서울국립대(서울대학교)
697,지방국립대(공주대학교)
698,서울사립대(국민대학교)
699,서울사립대(아주대학교)
700,대학원
701,지방거점국립대(부산대학교)
702,지방사립대(순천향대학교)
703,서울사립대(아주대학교)
704,지방거점국립대(경북대학교)
705,서울사립대(건국대학교)
706,지방국립대(부경대학교)
707,고등학교졸업
708,서울사립대(경희대학교)
709,지방국립대(금오공과대학교)
710,대학원
711,지방사립대(성결대학교)
712,지방국립대(부경대학교)
713,과학기술원
714,대학원
715,서울사립대(가톨릭대학교)
716,지방사립대(가천대학교)
717,과학기술원
718,대학원
719,지방거점국립대(전남대학교)
720,대학원
721,지방거점국립대(부산대학교)
722,지방사립대(순천향대학교)
723,서울사립대(아주대학교)
724,지방거점국립대(경북대학교)
725,서울사립대(건국대학교)
726,지방국립대(부경대학교)
727,고등학교졸업
728,서울사립대(경희대학교)
729,지방국립대(금오공과대학교)
730,대학원
731,지방사립대(성결대학교)
732,지방국립대(부경대학교)
733,과학기술원
734,대학원
735,서울사립대(가톨릭대학교)
736,지방사립대(가천대학교)
737,과학기술원
738,대학원
739,지방거점국립대(전남대학교)
740,서울사립대(아주대학교)
741,지방사립대(동아대학교)
742,지방국립대(부경대학교)
743,지방국립대(금오공과대학교)
744,지방사립대(인하대학교)
745,서울사립대(국민대학교)
746,서울사립대(아주대학교)
747,서울사립대(아주대학교)
748,서울사립대(가톨릭대학교)
749,서울공립대(서울시립대학교)
750,서울사립대(광운대학교)
751,지방거점국립대
752,서울사립대
753,지방사립대(인하대학교)
754,서울사립대(가톨릭대학교)
755,지방거점국립대(충남대학교)
756,지방국립대(금오공과대학교)
757,지방국립대(부경대학교)
758,서울사립대(연세대학교)
759,지방사립대(상지대학교)
760,지방국립대(금오공과대학교)
761,서울사립대(고려대학교)
762,서울사립대(고려대학교)
763,대학원
764,서울사립대(한양대학교)
765,지방거점국립대(전남대학교)
766,서울사립대(국민대학교)
767,지방거점국립대
768,지방거점국립대(충남대학교)
769,서울사립대(아주대학교)
770,지방사립대(동아대학교)
771,지방사립대
772,서울사립대(건국대학교)
773,전자전기 
774,
775,서울사립대
776,지방사립대
777,서울사립대(아주대학교)
778,서울사립대(고려대학교)
779,서울사립대(서강대학교)
780,지방국립대(인천대학교)
781,서울사립대(광운대학교)
782,지방사립대
783,서울사립대(건국대학교)
784,서울사립대
785,전자전기 
786,
787,서울사립대(아주대학교)
788,서울사립대(고려대학교)
789,서울사립대(서강대학교)
790,해외대
791,
792,식품생명공학과 
793,지방사립대
794,지방거점국립대(부산대학교)
795,서울사립대(명지대학교)
796,지방사립대
797,서울사립대
798,지방거점국립대
799,해외대
800,서울사립대(서강대학교)
801,해외대
802,
803,식품생명공학과 
804,지방사립대
805,지방거점국립대(부산대학교)
806,지방거점국립대(부산대학교)
807,지방사립대
808,서울사립대
809,지방거점국립대
810,해외대
811,
812,서울사립대
813,서울사립대(성균관대학교)
814,해외대
815,서울사립대(동국대학교)
816,서울사립대(중앙대학교)
817,
818,지방사립대
819,해외대
820,
821,서울사립대
822,서울사립대(성균관대학교)
823,해외대
824,서울사립대(동국대학교)
825,서울사립대(중앙대학교)
826,
827,지방사립대
828,해외대
829,지방사립대
830,해외대
831,지방사립대
832,서울사립대(서강대학교)
833,서울사립대(경희대학교)
834,지방사립대(조선대학교)
835,서울사립대(중앙대학교)
836,지방사립대
837,서울사립대
838,지방사립대
839,서울사립대(경기대학교)
840,
841,서울사립대
842,서울사립대(성균관대학교)
843,해외대
844,서울사립대(동국대학교)
845,서울사립대(중앙대학교)
846,
847,지방사립대
848,해외대
849,지방사립대
850,해외대
851,지방사립대
852,서울사립대(서강대학교)
853,서울사립대(경희대학교)
854,지방사립대(조선대학교)
855,서울사립대(중앙대학교)
856,지방사립대
857,서울사립대
858,지방사립대
859,서울사립대(경기대학교)
860,서울사립대
861,지방사립대
862,서울사립대
863,서울사립대(서강대학교)
864,지방사립대
865,서울사립대(한양대학교)
866,"컴활2급, 워드프로세서, ERP(회계,인사,생산,물류), 한국사능력검정2급, 전산회계1급, 전산회계운용사3급, 동아리 예산관리(3년), 학급 총무부 1년, 2017 사랑의 열매 봉사단, 구청 주최 가족운동회 봉사"
867,서울사립대(중앙대학교)
868,서울사립대(고려대학교)
869,서울사립대(고려대학교)
870,서울사립대(연세대학교)
871,해외대
872,지방국립대(인천대학교)
873,지방거점국립대(전남대학교)
874,지방거점국립대
875,서울사립대
876,지방사립대
877,지방사립대(인하대학교)
878,서울사립대(서강대학교)
879,서울사립대(고려대학교)
880,지방사립대
881,서울사립대(서강대학교)
882,지방사립대(인하대학교)
883,서울사립대
884,서울사립대(경희대학교)
885,지방사립대
886,서울사립대(중앙대학교)
887,서울사립대
888,서울사립대
889,서울사립대
890,지방거점국립대(전북대학교)
891,지방사립대(조선대학교)
892,서울사립대(숭실대학교)
893,서울사립대(중앙대학교)
894,
895,서울사립대(중앙대학교)
896,서울사립대(연세대학교)
897,서울사립대(연세대학교)
898,지방사립대
899,서울사립대
900,지방거점국립대
901,서울사립대(경희대학교)
902,지방사립대
903,해외대
904,서울사립대
905,
906,
907,지방사립대
908,지방국립대(부경대학교)
909,지방사립대
910,서울사립대(경희대학교)
911,지방거점국립대(부산대학교)
912,지방사립대(조선대학교)
913,지방거점국립대
914,서울사립대
915,서울국립대(서울대학교)
916,지방국립대(인천대학교)
917,서울사립대(성균관대학교)
918,서울사립대(고려대학교)
919,서울사립대(중앙대학교)
